Geneid	e10HeartOGAWTFemale	e10LiverOGAWTFemale	e2HeartOGAKOFemale	e2LiverOGAKOFemale	e3HeartOGAKOMale	e3LiverOGAKOMale	e5HeartOGAWTFemale	e5LiverOGAWTFemale	e6HeartOGAKOFemale	e6LiverOGAKOFemale	e7HeartOGAWTMale	e7LiverOGAWTMale
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	5.33	4.25	20.12	1	13	1.33	13.1	0	6	1.33	19	0.46
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0.67	0.5	0	0.33	0	0	0	0	0	1.11	0
ENSMUSG00000104017	0	0	0	0	0.11	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0.33	0	0	0.33	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0.33	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0.5	1.33	2	2.67	0.5	0	1.17	1	1.5	0.83	0.83	1.83
ENSMUSG00000103161	0	0	0	0	0	0.11	0.2	0	0	0	0	0
ENSMUSG00000102331	1	0	0.14	0	0	0	0.14	0	0.5	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0.1	0	0	0	0	0	0	0.17	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	3	2.1	2	1.5	8.17	0	8	2	1	3	10.2	3
ENSMUSG00000102948	0.58	0.25	1.89	1.17	0.83	0.5	1.31	0.67	0.43	0.5	0.88	1
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0.11	0	0
ENSMUSG00000025902	243.25	52.2	366.7	19.5	325.5	17.81	354.17	29.14	214.2	22	377.25	31
ENSMUSG00000104238	4	1	4.5	0.5	3	1	6.67	1	1	0	6.5	0
ENSMUSG00000102269	9.72	49.96	29.83	53.17	11.33	10.83	19.04	28.5	16.83	56.08	26.83	32.93
ENSMUSG00000118917	0	0	0	0.58	0	0	0	1	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	1	0	3.2	0	1	0	0	0
ENSMUSG00000102735	6.25	5.5	8.63	4.91	8.43	1.81	9.08	2.62	8.86	3.76	9.77	4.15
ENSMUSG00000098104	107.77	119.07	157.12	123.33	187.33	55.8	187.6	85.75	124.25	130.81	183.5	125.96
ENSMUSG00000102175	12.5	10.42	19.92	4.5	14.45	2.33	17.83	6.5	13.33	5.83	19.75	8.33
ENSMUSG00002075947	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0.14	0	0	0	0.17	0	0	0.14	0	0	0
ENSMUSG00000103922	2171.83	370.33	2382.32	271.5	1695.52	77.83	2917.12	220.17	1677.57	275.17	2574.08	352.33
ENSMUSG00000033845	968.5	1129.33	1193.62	808.5	895	212	1737.17	699.33	875.2	798.5	1652.69	1217.5
ENSMUSG00000102275	3	4	9.67	3.5	5.5	2.17	10	5.14	3.17	5.29	12	3
ENSMUSG00000120403	0	0	0	0.33	1	0	0	1	0	0	0	1
ENSMUSG00000025903	1563.93	1611.57	1604.28	1066.4	1019.28	273.33	2289.09	893.63	1195.05	1202.63	1812.84	1424.07
ENSMUSG00000104217	339.14	374.98	404.52	249.82	287.96	67.78	509.88	217.48	282.06	267.35	434.33	348.78
ENSMUSG00000033813	792.78	1003.49	1097.98	860.19	1022.16	269.9	1196.8	718.98	846.16	868.26	1147.03	1071.83
ENSMUSG00000062588	302.07	213.62	343.91	254.46	225.29	40.5	394.87	167.23	236.66	214.37	351.32	233.86
ENSMUSG00000103280	1	2	0	1	0	0	0	1	0	0	1	1.25
ENSMUSG00000002459	2	1.29	0.12	0.29	1.39	0	3.5	0	0	2.36	0.33	0
ENSMUSG00000091305	0	0	0	0	0	0	0	0.5	0.11	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0	0	0	0.5	0	0	0
ENSMUSG00000091665	0	0	0.12	0.62	0	0	0.5	0	0	0	0.53	0
ENSMUSG00000033793	764	791.41	814.22	493.82	798.85	222	1009.83	491	663.33	623.17	976.66	744.1
ENSMUSG00000104352	0.25	0.58	0.58	0.31	0	0	0.43	0	0.58	0	0	0
ENSMUSG00000104046	0.22	0.54	0	0.49	0	0.2	1.38	0	0	0.57	0.29	0.86
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	0.1	0	0.1	0	0	0	0.2	0.1	0.2	0.1	0.31	0
ENSMUSG00002076544	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0.5	2	0.17	3.17	0.61	1.1	0.2	1	0.17	2	0.17	0.67
ENSMUSG00000103090	0	0.5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090031	41.5	31.8	76.2	32.7	50.5	14.07	80.85	19.2	48	31.8	68.08	24.8
ENSMUSG00000025907	1048.58	890.1	1812	1107.37	2062.08	728.17	1588.77	632.86	1363.33	1344.08	2062.83	926.75
ENSMUSG00000087247	0	0	0	0	1	0	0	0	0	0	0.2	0
ENSMUSG00000103355	66.37	21.2	94.37	20.5	98.75	7.67	91.5	10.67	76.33	17	92.78	28
ENSMUSG00000102706	1	0.5	1.58	0.25	2	0.58	3.83	0	0.33	1.5	2.17	1
ENSMUSG00000103845	44.43	25.25	78.81	37.61	59.33	17.67	70.5	24.58	54.5	27.17	77.08	25.25
ENSMUSG00000033740	0	0	1.5	0	2.33	1	0	1	0	0	0	1
ENSMUSG00000103329	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0.25	0	0	0	0.14	0	0.33	0.33	0	0	0	0
ENSMUSG00000102135	215.44	297.99	285.32	280.88	236.95	76.34	315.64	231.38	194.98	328.78	282.26	314.67
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0.17	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0.33	0	0	0	0	0	0	0.67	0	0	0.33
ENSMUSG00000120372	5	2	1	3	2	0	2	0	2.25	3	5.5	1.33
ENSMUSG00000051285	1074.87	1278.83	1344.26	1085.58	1051.08	300.83	1562.17	848.33	1022.5	1047.42	1313.92	1149.06
ENSMUSG00000098201	32.95	32.65	46.93	33.39	42.72	7.05	48.28	32.44	35.19	38.54	43.4	41.52
ENSMUSG00000103509	7	10	7	11	16	0	8.17	6	5	8	12	4
ENSMUSG00000048538	149.36	2562.11	172.5	2473.18	134.16	1381.84	222.76	1380.4	130.16	2752.89	160.48	3893.04
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0.17	0	0	0	0	0	0	0
ENSMUSG00000097797	3.14	2.75	0	3.33	0	0	6	2.5	3	2.5	2	2.5
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0.5	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102320	0.5	0.5	0.5	0	0	0.5	0.5	0	0.5	0	1	0.5
ENSMUSG00000104226	4.5	8	13.7	5.64	11.5	2.5	14.6	5	10.61	3.7	9.5	5.5
ENSMUSG00000103903	0	0.39	0	0	0.29	0.14	0	0	0	1.2	0	0.29
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
